START_IP,END_IP,COUNT_IP
185.190.24.0,185.190.24.255,256
185.217.4.0,185.217.7.255,"1,024"
194.110.176.0,194.110.191.255,"4,096"
194.112.0.0,194.112.1.255,512
194.112.3.0,194.112.14.255,"3,072"
194.135.24.0,194.135.24.255,256
194.87.43.0,194.87.43.255,256
212.17.160.0,212.17.161.255,512
212.17.163.0,212.17.167.255,"1,280"
212.17.170.0,212.17.191.255,"5,632"
213.204.32.0,213.204.63.255,"8,192"
217.29.224.0,217.29.239.255,"4,096"
79.133.0.0,79.133.31.255,"8,192"
82.199.160.0,82.199.191.255,"8,192"
