START_IP,END_IP,COUNT_IP
102.164.96.0,102.164.103.255,"2,048"
102.214.104.0,102.214.107.255,"1,024"
102.214.164.0,102.214.167.255,"1,024"
102.215.196.0,102.215.199.255,"1,024"
102.218.172.0,102.218.175.255,"1,024"
102.218.196.0,102.218.199.255,"1,024"
102.219.227.0,102.219.227.255,256
102.220.140.0,102.220.143.255,"1,024"
102.221.224.0,102.221.227.255,"1,024"
102.221.56.0,102.221.59.255,"1,024"
102.221.8.0,102.221.11.255,"1,024"
102.222.252.0,102.222.253.255,512
102.223.112.0,102.223.113.255,512
102.223.156.0,102.223.159.255,"1,024"
102.23.220.0,102.23.223.255,"1,024"
102.38.0.0,102.38.31.255,"8,192"
102.68.128.0,102.68.135.255,"2,048"
102.69.0.0,102.69.127.255,"32,768"
154.127.64.0,154.127.79.255,"4,096"
154.73.108.0,154.73.111.255,"1,024"
154.73.128.0,154.73.135.255,"2,048"
154.73.28.0,154.73.31.255,"1,024"
154.73.52.0,154.73.55.255,"1,024"
156.38.32.0,156.38.63.255,"8,192"
160.19.96.0,160.19.103.255,"2,048"
164.160.144.0,164.160.147.255,"1,024"
165.16.0.0,165.16.127.255,"32,768"
169.239.116.0,169.239.119.255,"1,024"
169.239.92.0,169.239.95.255,"1,024"
185.10.240.0,185.10.243.255,"1,024"
185.4.195.0,185.4.195.255,256
188.164.82.0,188.164.83.255,512
195.234.120.0,195.234.123.255,"1,024"
196.60.90.0,196.60.90.255,256
197.215.128.0,197.215.159.255,"8,192"
197.231.228.0,197.231.231.255,"1,024"
209.58.120.0,209.58.122.255,768
216.6.110.0,216.6.110.255,256
216.6.94.0,216.6.94.255,256
41.208.64.0,41.208.127.255,"16,384"
41.242.16.0,41.242.31.255,"4,096"
41.252.0.0,41.255.255.255,"262,144"
41.74.64.0,41.74.79.255,"4,096"
5.63.0.0,5.63.7.255,"2,048"
57.83.204.0,57.83.204.255,256
62.240.32.0,62.240.63.255,"8,192"
62.68.32.0,62.68.63.255,"8,192"
80.231.7.0,80.231.7.255,256
81.85.220.0,81.85.223.255,"1,024"
82.205.182.0,82.205.182.255,256
82.205.188.0,82.205.191.255,"1,024"
